code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Bénevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
111141007;Privée;ANTSIRABE II;MANANDONA;MANANDONA;AMBOHIPAHANA SOARAY;LYCEE PRIVE LE GROSMAIRE;47,05501522;-20,04895231;43,84%;13;0;0;0;0;13;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111160801;Publique;ANTSIRABE II;MANGARANO;MANGARANO;MANGARANO;LYCEE COMMUNAUTAIRE MANGARANO;46,97658091;-19,9698941;43,84%;7;0;0;2;0;9;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111170015;Publique;ANTSIRABE II;SAHANIVOTRY MANANDONA;SAHANIVOTRY;SAHANIVOTRY;LYCEE COMMUNAUTAIRE SAHANIVOTRY;47,07610486;-20,12845595;43,84%;3;8;0;1;0;12;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111180013;Publique;ANTSIRABE II;SOANINDRARINY;SOANINDRARINY;SOANINDRARINY;LYCEE SOANINDRARINY;47,23023038;-19,90641524;43,84%;2;12;1;1;1;17;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111181011;Privée;ANTSIRABE II;SOANINDRARINY;SOANINDRARINY;SOANINDRARINY;LYCEE PRIVE CATHOLIQUE SAINTE GENEVIEVE;47,23023038;-19,90641524;43,84%;8;0;0;0;0;8;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111190016;Publique;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;BELANITRA;LYCEE COMMUNAUTAIRE TSARAHONENANA;47,27319468;-19,978341;43,84%;11;18;1;2;1;33;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111200014;Publique;ANTSIRABE II;VINANINKARENA;VINANINKARENA;ANKARINOMBY;LYCEE COMMUNAUTAIRE VINANINKARENA;47,04453862;-19,95861635;43,84%;4;25;2;3;1;35;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111201009;Privée;ANTSIRABE II;VINANINKARENA;VINANINKARENA;ANKARINOMBY;COLLEGE PRIVE AINA;47,0398287;-19,95202286;43,84%;8;0;0;0;0;8;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
111201016;Privée;ANTSIRABE II;VINANINKARENA;VINANINKARENA;ANKARINOMBY;LYCEE PRIVE FITAHIANA;47,04145882;-19,95603734;43,84%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;52,88%;44,42%;72,55%;42,21%;49,13%;35,78%;31,44%;;
113010006;Publique;BETAFO;ALAKAMISY ANATIVATO;ALAKAMISY ANATIVATO;IMANJA;LYCEE COMMUNAUTAIRE DOX ANJANAPARA;46,90123526;-19,90886288;43,37%;10;10;0;2;0;22;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113010303;Privée;BETAFO;ALAKAMISY ANATIVATO;ALAKAMISY ANATIVATO;AMPAMELOMANA;LYCEE PRIVE L'ESPOIR;???;???;43,37%;6;0;0;0;0;6;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113011001;Privée;BETAFO;ALAKAMISY ANATIVATO;ALAKAMISY ANATIVATO;AMPAMELOMANA;LYCEE PRIVE CHRETIEN ATSIMONIAVOKO;46,89568161;-19,86848505;43,37%;15;0;0;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113021001;Privée;BETAFO;ALAROBIA BEMAHA;ALAROBIA BEMAHA;ANDRANOVORILAVA;LYCEE PRIVE CATHOLIQUE SAINT FRANCOIS D'ASSISE ANDRANOVORILAVA;46,87362521;-20,22137315;43,37%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113031001;Privée;BETAFO;AMBATONIKOLAHY;AMBATONIKOLAHY;TSARAZAFY;LYCEE CATHOLIQUE NOTRE DAME DU ROSAIRE AMBOLOTARA;46,95106054;-19,75028081;43,37%;6;0;1;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113050402;Publique;BETAFO;AMBOHIMASINA;AMBOHIMASINA;AMBOHIMASINA;LYCEE COMMUNAUTAIRE AMBOHIMASINA;46,73489475;-19,6485414;43,37%;9;1;0;1;0;11;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113051003;Privée;BETAFO;AMBOHIMASINA;AMBOHIMASINA;AMBOHIMASINA;COLLEGE PRIVE CATHOLIQUE SAINTE MARIE IMMACULEE AMBOHIMASINA;46,7347988;-19,65280499;43,37%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113051013;Privée;BETAFO;AMBOHIMASINA;AMBOHIMASINA;AMBOHIMASINA;LYCEE PRIVE LA SOURCE AMBOHIMASINA;46,73561272;-19,64969727;43,37%;12;0;0;0;0;12;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113100010;Publique;BETAFO;BETAFO;BETAFO;AVARATSENA;LYCEE BETAFO;46,85623256;-19,83793379;43,37%;5;42;3;10;3;63;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113100401;Privée;BETAFO;BETAFO;BETAFO;AMBOHIPIHAONANA;LYCEE PRIVE AVOTRA;46,83988;-19,83732;43,37%;10;0;0;0;0;10;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113101008;Privée;BETAFO;BETAFO;BETAFO;AVARATSENA;LYCEE PRIVE LUTHERIEN BETAFO;46,85967495;-19,82976566;43,37%;14;0;0;0;0;14;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113101009;Privée;BETAFO;BETAFO;BETAFO;AVARATSENA;LYCEE PRIVE FJKM ZIVA;46,85557894;-19,8339243;43,37%;13;0;2;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113101011;Privée;BETAFO;BETAFO;BETAFO;ATSINANANTSENA I;LYCEE PRIVE LE NID ADO;46,85851574;-19,83822705;43,37%;8;0;0;0;0;8;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113101013;Privée;BETAFO;BETAFO;BETAFO;ATSIMONTSENA;GROUPE SCOLAIRE CATHOLIQUE SAINT LOUIS BETAFO;46,85452419;-19,8400169;43,37%;20;0;1;0;0;21;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113101017;Privée;BETAFO;BETAFO;BETAFO;AMBOHIPIHAONANA;LYCEE PRIVE MAMIN-TSOA SCHOOL;46,84890839;-19,83619797;43,37%;14;0;0;0;0;14;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113120011;Publique;BETAFO;INANANTONANA;INANANTONANA;INANANTONANA;LYCEE COMMUNAUTAIRE INANANTONANA;46,6256161;-19,6514212;43,37%;9;7;0;2;0;18;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113130302;Publique;BETAFO;MAHAIZA;MAHAIZA;AMBOHIMANAMORA;LYCEE MAHAIZA;46,82751405;-19,90533044;43,37%;9;0;0;0;0;9;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113131003;Privée;BETAFO;MAHAIZA;MAHAIZA;MAHAIZA;LYCEE PRIVE CATHOLIQUE SAINT JOSEPH MAHAIZA;46,80631676;-19,90175271;43,37%;7;0;0;0;0;7;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
113160701;Publique;BETAFO;SOAVINA;SOAVINA;SOAVINA;LYCEE COMMUNAUTAIRE SOAVINA;46,72688772;-19,79348701;43,37%;11;2;2;0;0;15;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;37,21%;50,18%;100,00%;38,51%;43,58%;18,80%;32,85%;;
