code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Benevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
111051019;Privée;ANTSIRABE II;AMBOHIBARY;AMBOHIBARY;AMBOHIBARY IRAY TSY MIVAKY;ECOLE PRIVEE IDEAL;47,13969473;-19,61868936;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191020;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;SAHANIVOTRY;ECOLE PRIVEE KOLOINA NAMATRY;47,27360614;-20,01629687;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111140302;Privée;ANTSIRABE II;MANANDONA;MANANDONA;AMBOHIPAHANA SOARAY;ECOLE PRIVEE LE COLIBRIS;???;???;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111090401;Privée;ANTSIRABE II;ANDRANOMANELATRA;ANDRANOMANELATRA;ANDRANOMANELATRA;ECOLE PRIVEE LE DEFI;47,09895265;-19,78429347;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111080501;Privée;ANTSIRABE II;AMBOHITSIMANOVA;AMBOHITSIMANOVA;AVARABOHITRA;ECOLE PRIVEE LOVASOA AVARABOHITRA;47,16387579;-20,06599997;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191021;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;SOAVINARIVO;ECOLE PRIVEE LUTHERIENNE AMBATOMITETY;47,31811796;-19,99402395;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111041012;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;ANOSY;ECOLE PRIVEE LUTHERIENNE AMBATOMITSANGANA;47,27270624;-19,82230651;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111181006;Privée;ANTSIRABE II;SOANINDRARINY;SOANINDRARINY;AMBODIALA;ECOLE PRIVEE LUTHERIENNE AMBODIALA;47,3246;-19,8889;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111181007;Privée;ANTSIRABE II;SOANINDRARINY;SOANINDRARINY;BEMASOANDRO;ECOLE PRIVEE LUTHERIENNE AMBODIRANO;47,31798;-19,86295;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111101008;Privée;ANTSIRABE II;ANTANAMBAO;ANTANAMBAO;SOANIERANA;ECOLE PRIVEE LUTHERIENNE AMBOHIBELOMA;47,38281706;-19,927356;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
